feature,importance
low,0.1380301
close,0.05482625
daily_range,0.052235365
range_20d,0.04504672
vwap,0.044697642
market_cap,0.043061636
price_vs_ema200,0.042895775
macd_positive,0.038709924
price_vs_ema50,0.038617734
ema_50,0.03651995
price_vs_sma50,0.03577766
ema_200,0.035547253
volume,0.03402052
macd_signal_diff,0.03270583
ema_26,0.03205459
macd_signal,0.031953584
ema_12,0.03066496
macd_histogram,0.030372474
return_20d,0.029944045
macd_line,0.029942527
volatility_20d,0.024553528
high,0.022792857
volume_ratio_20d,0.022205917
return_5d,0.021748437
price_vs_sma20,0.021140898
open,0.017273465
return_1d,0.012660444
pe_ratio,0.0
quick_ratio,0.0
enterprise_value,0.0
free_cash_flow,0.0
eps,0.0
dividend_yield,0.0
debt_to_equity,0.0
cash_ratio,0.0
current_ratio,0.0
pb_ratio,0.0
roa,0.0
roe,0.0
ev_to_sales,0.0
ev_to_ebitda,0.0
p_fcf_ratio,0.0
pcf_ratio,0.0
ps_ratio,0.0
average_volume,0.0
